,tokenization time,inference time,total inf time
4040,0.002901799976825714,0.05114215612411499,220.05283203721046
4041,0.0029238462448120117,0.04712808132171631,220.05283203721046
4042,0.0031815767288208008,0.051807500422000885,220.05283203721046
4043,0.0031908974051475525,0.05769120901823044,220.05283203721046
4044,0.0035196393728256226,0.05960695445537567,220.05283203721046
4045,0.0034977421164512634,0.06113279610872269,220.05283203721046
4046,0.004048511385917664,0.06770791858434677,220.05283203721046
4047,0.004370100796222687,0.0737152248620987,220.05283203721046
4048,0.005099885165691376,0.08700559288263321,220.05283203721046
4049,0.004707448184490204,0.11608873307704926,220.05283203721046
4050,0.00039984285831451416,0.007311016321182251,220.05283203721046
4051,0.00037648528814315796,0.005057521164417267,220.05283203721046
4052,0.00037301331758499146,0.005020402371883392,220.05283203721046
4053,0.00042926520109176636,0.0065298303961753845,220.05283203721046
4054,0.00043113529682159424,0.006365753710269928,220.05283203721046
4055,0.0006816387176513672,0.012060150504112244,220.05283203721046
4056,0.0010051354765892029,0.017331957817077637,220.05283203721046
4057,0.0011819005012512207,0.01916676014661789,220.05283203721046
4058,0.0013533532619476318,0.023441769182682037,220.05283203721046
4059,0.001505248248577118,0.028542235493659973,220.05283203721046
4060,0.001528821885585785,0.0291411355137825,220.05283203721046
4061,0.0017440542578697205,0.03013060986995697,220.05283203721046
4062,0.0018710941076278687,0.03319050371646881,220.05283203721046
4063,0.0019750669598579407,0.037515997886657715,220.05283203721046
4064,0.002020798623561859,0.03676468878984451,220.05283203721046
4065,0.002196475863456726,0.04045621305704117,220.05283203721046
4066,0.0023390725255012512,0.0393405482172966,220.05283203721046
4067,0.0025650784373283386,0.0457661896944046,220.05283203721046
4068,0.002905145287513733,0.04394563287496567,220.05283203721046
4069,0.002952292561531067,0.04813620448112488,220.05283203721046
4070,0.0031220316886901855,0.05111751705408096,220.05283203721046
4071,0.0031629353761672974,0.05258747190237045,220.05283203721046
4072,0.003481663763523102,0.0630413219332695,220.05283203721046
4073,0.0036437958478927612,0.058335691690444946,220.05283203721046
4074,0.0038554593920707703,0.06569608300924301,220.05283203721046
4075,0.004162512719631195,0.06789758801460266,220.05283203721046
4076,0.004774130880832672,0.07955368608236313,220.05283203721046
4077,0.005342952907085419,0.0934029147028923,220.05283203721046
4078,0.003567151725292206,0.11859966814517975,220.05283203721046
4079,0.00041341036558151245,0.007427811622619629,220.05283203721046
4080,0.00037533044815063477,0.005397982895374298,220.05283203721046
4081,0.0003701895475387573,0.005097627639770508,220.05283203721046
4082,0.0003802254796028137,0.005088143050670624,220.05283203721046
4083,0.00036770105361938477,0.005117557942867279,220.05283203721046
4084,0.000728905200958252,0.01316254585981369,220.05283203721046
4085,0.0011078491806983948,0.021378912031650543,220.05283203721046
4086,0.0013547316193580627,0.022087886929512024,220.05283203721046
4087,0.001466415822505951,0.026460163295269012,220.05283203721046
4088,0.001645199954509735,0.028564028441905975,220.05283203721046
4089,0.001880154013633728,0.032725974917411804,220.05283203721046
4090,0.0020317062735557556,0.036750733852386475,220.05283203721046
4091,0.0022759735584259033,0.03839079290628433,220.05283203721046
4092,0.00252513587474823,0.04479769617319107,220.05283203721046
4093,0.002851046621799469,0.04900708794593811,220.05283203721046
4094,0.003053724765777588,0.05373362451791763,220.05283203721046
4095,0.0033889040350914,0.056434012949466705,220.05283203721046
4096,0.0036425143480300903,0.0618555024266243,220.05283203721046
4097,0.0040056705474853516,0.0689803808927536,220.05283203721046
4098,0.004319623112678528,0.07623989880084991,220.05283203721046
4099,0.005568072199821472,0.09098508954048157,220.05283203721046
4100,0.006208315491676331,0.11313489079475403,220.05283203721046
4101,0.008418068289756775,0.16313625127077103,220.05283203721046
4102,0.0014173835515975952,0.10516863316297531,220.05283203721046
4103,0.00036281347274780273,0.005282014608383179,220.05283203721046
4104,0.0003895089030265808,0.005090273916721344,220.05283203721046
4105,0.0003668367862701416,0.0055579617619514465,220.05283203721046
4106,0.0005992352962493896,0.010132379829883575,220.05283203721046
4107,0.0010161474347114563,0.017620474100112915,220.05283203721046
4108,0.0012096017599105835,0.021027788519859314,220.05283203721046
